"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"FD0F5752440","FD0F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","343","          -   ","          -   ","          -   ","  "
"O33F5752440","O33F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","433","          -   ","          -   ","          -   ","  "
"2ADC5750810","2ADC","NEW IT CLUB VIAGENS","SAB","SAB","5750810","FERNANDA","FERNANDA","TOUR OPERATOR","RIO DE JANEIRO","RJ","SUDESTE","4.087","          -   ","          -   ","          -   ","  "
"S8MG9999999","S8MG","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","NOSSA SENHORA","SP","SUDESTE","537","          -   ","          -   ","          -   ","  "
"LC2F5752440","LC2F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","533","          -   ","          -   ","          -   ","  "
"1TNF5752440","1TNF","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","434","          -   ","          -   ","          -   ","  "
"75LG5752440","75LG","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","636","","          -   ","          -   ",""
"H15G9999999","H15G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","BELO HORIZONTE","MG","SUDESTE","446","          -   ","          -   ","          -   ","  "
"W54G9999999","W54G","CVC","SAB","SAB","9999999","PROSPECT","DANIEL","TOUR OPERATOR","SAO PAULO","SP","SUDESTE","295","          -   ","          -   ","          -   ","  "
"8Q7F5752440","8Q7F","CVC","SAB","SAB","5752440","PROSPECT","DANIEL","TOUR OPERATOR","SANTO ANDRE","SP","SUDESTE","854","          -   ","          -   ","          -   ","  "
